"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1863","","hypothetical protein","129","173","30","165","81.13207547169812","48.81656804733728","4.101156069364162","8.931834144701828e-11","2.775120868758858e-07","1.5417338159771432e-09","8","6","5","0.2890625","0.7265625"
"group_1793","","hypothetical protein","32","8","127","330","20.125786163522015","97.63313609467455","10.393700787401574","9.104767709704155e-11","2.828851327405081e-07","1.5458203974891154e-09","12","8","5","0.3876953125","0.7744140625"
"group_1608","","hypothetical protein","32","8","127","330","20.125786163522015","97.63313609467455","10.393700787401574","9.104767709704155e-11","2.828851327405081e-07","1.5458203974891154e-09","7","2","5","0.453125","0.453125"
"group_989","","hypothetical protein","32","8","127","330","20.125786163522015","97.63313609467455","10.393700787401574","9.104767709704155e-11","2.828851327405081e-07","1.5458203974891154e-09","7","2","5","0.453125","0.453125"
"group_1118","","hypothetical protein","44","20","115","318","27.67295597484277","94.0828402366864","6.0834782608695654","9.665820144818718e-11","3.0031703189951755e-07","1.6321577820625954e-09","14","6","9","0.4239501953125","0.79052734375"
"group_250","","IS1182 family transposase ISSau3","42","18","117","320","26.41509433962264","94.67455621301775","6.381766381766382","1.2848244747076875e-10","3.991949642916785e-07","2.157810617792857e-09","4","2","4","0.125","1.0"
"group_2427","","hypothetical protein","131","180","28","158","82.38993710691824","46.74556213017752","4.106746031746032","1.304255050544502e-10","4.0523204420417675e-07","2.1670162791667204e-09","6","5","2","0.21875","0.6875"
"group_2424","","hypothetical protein","28","158","131","180","17.61006289308176","53.25443786982249","0.24350178761232968","1.304255050544502e-10","4.0523204420417675e-07","2.1670162791667204e-09","6","2","5","0.21875","0.6875"
"group_1247","","hypothetical protein","126","167","33","171","79.24528301886792","50.591715976331365","3.909635274904736","1.357774367909254e-10","4.2186049610940526e-07","2.23206611698098e-09","6","4","5","0.21875","0.6875"
"group_438","","hypothetical protein","126","167","33","171","79.24528301886792","50.591715976331365","3.909635274904736","1.357774367909254e-10","4.2186049610940526e-07","2.23206611698098e-09","6","4","5","0.21875","0.6875"
