"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1579","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_932","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_586","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_570","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_434","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_433","","hypothetical protein","30","240","68","265","30.612244897959183","52.475247524752476","0.48713235294117646","0.0025984220625910924","1.0","0.016516150535182007","14","8","7","0.79052734375","1.0"
"group_1051","","hypothetical protein","22","194","76","311","22.448979591836736","61.584158415841586","0.46405317417254477","0.00264056572584372","1.0","0.01676004788560521","18","8","13","0.09625244140625","0.8145294189453125"
"group_1294","","hypothetical protein","31","245","67","260","31.63265306122449","51.48514851485149","0.4910143161742309","0.0026527013743823324","1.0","0.01681305592921641","18","8","13","0.09625244140625","0.8145294189453125"
"group_911","","putative autolysin PH","64","244","34","261","65.3061224489796","51.68316831683168","2.0135004821600773","0.002740782573091771","1.0","0.017341966523012568","22","18","9","0.004343509674072266","0.5234670639038086"
"group_2387","","hypothetical protein","12","133","86","372","12.244897959183673","73.66336633663366","0.3902780206329778","0.0027478605519245664","1.0","0.017341966523012568","11","4","9","0.0654296875","0.548828125"
"group_1014","","hypothetical protein","12","133","86","372","12.244897959183673","73.66336633663366","0.3902780206329778","0.0027478605519245664","1.0","0.017341966523012568","11","4","9","0.0654296875","0.548828125"
"xerC_3~~~xerC_5","xerC_3;xerC_5","Tyrosine recombinase XerC","3","65","95","440","3.061224489795918","87.12871287128714","0.21376518218623483","0.0027613167740075852","1.0","0.017402170818320142","5","1","5","0.0625","0.375"
